cal,d14c,d14csig,paper_ref,tree_ref
209,0.9,2.1,2,1
209,1.4,2.6,2,1
210,5.6,2.3,2,1
211,5.5,2.1,2,1
211,7.6,2.6,2,1
212,7.2,2.3,2,1
213,7.2,2.6,2,1
214,7.4,2.6,2,1
215,7.4,2.5,2,1
216,9,2.9,2,1
217,8.9,2.5,2,1
218,7.1,2,2,1
219,5.6,1.8,2,1
220,10.6,2.5,2,1
221,12.7,2.3,2,1
222,11.6,2.5,2,1
223,14.3,2.5,2,1
224,17.9,2,2,1
225,13.7,1.8,2,1
226,16.1,2.3,2,1
227,15,2.3,2,1
228,14.2,2.1,2,1
229,14.5,2.3,2,1
230,15,2.1,2,1
230,15,2.1,2,1
231,13.5,2.1,2,1
231,20.9,2.3,2,1
232,18,2.2,2,1
232,18.4,2.2,2,1
233,15.5,2.1,2,1
233,15,2.1,2,1
234,20.3,2.7,2,1
235,18.6,2.3,2,1
236,17.5,2.3,2,1
237,17.4,2.3,2,1
238,14.8,2.3,2,1
239,17.1,2.2,2,1
239,20.3,2.3,2,1
240,17.4,2.2,2,1
240,20.5,2.3,2,1
241,19.8,2.5,2,1
242,16.8,2.3,2,1
243,16.1,2.2,2,1
243,18.7,2.2,2,1
244,14.7,2.3,2,1
245,16.7,2.2,2,1
246,19.9,2.2,2,1
246,23.7,2.3,2,1
247,18.2,2.3,2,1
248,17.7,2.2,2,1
248,19.5,2.2,2,1
249,16.2,2.2,2,1
249,22.8,2.3,2,1
250,16.1,2.5,2,1
250,16.6,2.5,2,1
251,19.1,2.3,2,1
252,21.1,2.3,2,1
253,17.6,2.3,2,1
254,19.7,2.2,2,1
255,19.1,2.3,2,1
256,17.8,2.3,2,1
257,16.4,2.3,2,1
258,18.2,2.3,2,1
259,15.6,2.3,2,1
260,15.5,2.3,2,1
261,14.4,2.7,2,1
262,15.1,2.3,2,1
263,14.7,2.3,2,1
264,17.5,2.2,2,1
264,17.4,2.7,2,1
250,16.7,2.5,2,1
251,14.3,2.5,2,1
252,14.2,2.5,2,1
253,18.2,2.5,2,1
254,14,2.3,2,1
255,14.5,1.6,2,1
255,12.5,2.3,2,1
256,13.5,2,2,1
256,18.3,2.5,2,1
257,15,2.3,2,1
258,15,2.3,2,1
259,15,2.7,2,1
260,11.9,2.6,2,1
261,16.9,2.5,2,1
262,18.2,2.3,2,1
263,12.6,2.6,2,1
263,15,2.9,2,1
264,18,2.3,2,1
264,17.4,3.2,2,1
265,13.5,3.2,2,1
266,13.2,2.3,2,1
267,11.6,2.3,2,1
268,12.2,2.5,2,1
269,11.9,2.3,2,1
270,13,2.1,2,1
272,8.4,2.3,2,1
273,11.6,2.1,2,1
273,8.2,2.3,2,1
274,9.7,2.3,2,1
274,13.1,2.3,2,1
275,11.9,2.3,2,1
276,5.8,2.6,2,1
276,12.4,2.5,2,1
277,16.7,2.3,2,1
277,13.9,2.3,2,1
278,10.9,2.3,2,1
279,13.2,2.3,2,1
279,17.6,2.7,2,1
280,9.8,2.3,2,1
281,11.3,2.5,2,1
282,11.9,2.6,2,1
283,10.1,2.5,2,1
284,8.4,2.3,2,1
285,6.7,1.8,2,1
286,7.5,2.3,2,1
286,5.2,1.8,2,1
287,8.7,2.5,2,1
288,7.5,2.5,2,1
289,9,2.5,2,1
290,4.1,2.2,2,1
290,3.7,2.5,2,1
291,6.2,2.6,2,1
292,9.3,2.5,2,1
293,4.5,2,2,1
294,4.6,2.1,2,1
295,6.3,2.1,2,1
296,5.1,2.3,2,1
296,9.7,2.5,2,1
297,4.1,2.5,2,1
299,4.9,2.5,2,1
300,5.4,2.3,2,1
300,6.1,2.5,2,1
301,2.1,2.2,2,1
301,6.3,2.5,2,1
302,3.3,2.2,2,1
303,3.9,2.6,2,1
304,2.7,2.2,2,1
305,2.2,2.2,2,1
306,1,1.6,2,1
306,4,2.1,2,1
307,3.8,2.5,2,1
308,1.5,2.2,2,1
309,2.2,2.7,2,1
310,-1.2,2.1,2,1
310,-4.6,2.7,2,1
311,-1.1,1.6,2,1
311,4.4,2.5,2,1
312,-2.6,2.2,2,1
313,0.6,2.7,2,1
314,-0.4,2.1,2,1
314,4,2.5,2,1
315,-1.4,2.1,2,1
315,4.8,2.5,2,1
316,-3.3,2.5,2,1
317,-0.2,2.5,2,1
318,-3.6,2.5,2,1
319,-3.4,2.5,2,1
320,-4,2.5,2,1
321,-4.6,2.1,2,1
321,4,2.5,2,1
322,-4.6,2.5,2,1
323,-0.4,2.5,2,1
